2762,Jansons Institute of Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,148,141,106.5,97.5,,119.5,
2763,Akshaya College of Engineering and Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,151,132.5,131.5,134,***,107.5,
2764,K P R Institute of Engineering and Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,183,179,179,174,161,163.5,
2768,Park College of Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,104,***,,***,,,
2769,J C T College of Engineering and Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,137,106.5,125.5,***,***,---,
2770,Studyworld College of Engineering, Coimbatore,ARTIFICIAL INTELLIGENCE AND,119.5,***,,***,***,,
2772,C M S College of Engineering and Technology, Coimbatore,ARTIFICIAL INTELLIGENCE AND,118,***,,***,***,108,
2776,R V S Technical Campus-Coimbatore, Coimbatore,ARTIFICIAL INTELLIGENCE AND,146.5,136.5,134.5,137.5,118,108,
3425,C K College of Engineering and Technology, Cuddalore,ARTIFICIAL INTELLIGENCE AND,157.5,121.5,150,143.5,136.5,,
3454,Sri Ramakrishna College of Engineering, Perambalur,ARTIFICIAL INTELLIGENCE AND,134,***,,103.5,,,
3461,Arifa Institute of Technology, Nagapattinam,ARTIFICIAL INTELLIGENCE AND,111,***,***,***,***,,
3701,K Ramakrishnan College of Technology, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,156,148,153.5,138.5,120,---,
3760,Sir Issac Newton College of Engineering and Technology, Nagapattinam,ARTIFICIAL INTELLIGENCE AND,121,***,116,106.5,105.5,,
3782,OASYS Institute of Technology, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,135.5,***,134.5,110.5,***,,134
3786,M.A.M. School of Engineering, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,135,127.5,115.5,***,115.5,,
3795,SRM TRP Engineering College, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,168,160,161,142.5,121,,
3804,Arasu Engineering College, Thanjavur,ARTIFICIAL INTELLIGENCE AND,140.5,***,***,122.5,***,---,
3805,Dhanalakshmi Srinivasan Engineering College, Perambalur,ARTIFICIAL INTELLIGENCE AND,153,139,145,131.5,113.5,,
3806,E G S Pillay Engineering College, Nagapattinam,ARTIFICIAL INTELLIGENCE AND,153,141,152.5,126.5,92.5,,
3807,J J College of Engineering and Technology, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,154.5,139,142,141.5,98,,
3810,M.A.M. College of Engineering, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,141.5,120.5,140.5,110,***,134.5,
3811,M I E T Engineering College, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,137,***,132.5,***,***,,
3812,Mookambigai College of Engineering, Pudukkottai,ARTIFICIAL INTELLIGENCE AND,122.5,***,,***,***,,
3814,P R Engineering College, Thanjavur,ARTIFICIAL INTELLIGENCE AND,125,***,,***,,,
3815,Pavendar Bharathidasan College of Engineering and Technology, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,130,***,93,***,114,,
3819,Saranathan College of Engineering, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,171.5,162,166.5,158.5,134.5,---,
3820,Trichy Engineering College, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,99.5,,,,,,
3825,St. Joseph's College of Engineering and Technology, Thanjavur,ARTIFICIAL INTELLIGENCE AND,143.5,111,85.5,99,99.5,91.5,
3826,Kongunadu College of Engineering and Technology, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,169.5,155,150.5,159,135.5,139,123
3829,M.A.M. College of Engineering and Technology, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,143.5,114,138.5,119,115.5,111,
3830,K Ramakrishnan College of Engineering, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,170.5,160.5,164,142,133.5,152.5,
3831,Indra Ganesan College of Engineering, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,113,***,,***,***,,
3841,CARE College of Engineering, Tiruchirappalli,ARTIFICIAL INTELLIGENCE AND,150,138,143,132,119,,
